age_group,n,ndcg_mean,ndcg_lo,ndcg_hi,hit_at_1,hit_at_3,hit_at_10,kendall_tau,stars_ndcg_mean,delta_vs_stars,pairwise_win_rate,wilcoxon_p,wilcoxon_p_bh,cohen_d
Boomer (57+),360,0.8172,0.8108,0.8239,0.1778,0.4694,0.9972,-0.0201,0.7918,0.0254,0.5556,0.0,0.0,0.5267
Gen Z (18-25),360,0.8264,0.8202,0.8332,0.2056,0.5056,0.9806,0.0069,0.794,0.0324,0.5194,0.0,0.0,0.6228
Gen X (41-56),480,0.8218,0.8165,0.8276,0.1917,0.4854,0.9792,-0.0121,0.7948,0.027,0.4875,0.0,0.0,0.5219
Young Millennial (26-33),300,0.826,0.8191,0.833,0.2033,0.5767,0.9867,0.0181,0.7932,0.0328,0.5167,0.0,0.0,0.659
Senior Millennial (34-40),360,0.8268,0.8199,0.8338,0.2111,0.4611,0.9861,0.0073,0.7929,0.0339,0.4833,0.0,0.0,0.631
