osm_id,osm_type,name,category,amenity,lat,lon,postcode,street,cuisine,website
3794329186,node,Benito's Hat,Fast Food,fast_food,51.517478,-0.0808837,,,,
3796216966,node,Stormzzy's,Coffee Shop,cafe,51.4631141,-0.1702088,,,,
3796249149,node,Sustaines Cafe,Coffee Shop,cafe,51.4323108,-0.5033456,TW18 4LY,Station Approach,,
3796258892,node,STEREO,Bar,bar,51.5116706,-0.1220387,WC2E 8BE,"The Piazza, Covent Garden",,
3796261409,node,Flakes,Restaurant,restaurant,51.4909148,-0.1038454,SE11 4RN,Newington Butts,,
3796261411,node,Mr Ma,Fast Food,fast_food,51.4908808,-0.1037783,SE11 4RN,Newington Butts,chinese,
3796261415,node,Royal British Legion,Pub,pub,51.4874059,-0.10409,,,,
3796261417,node,Maximo;Maximo Italian Bistro,Restaurant,restaurant,51.4891516,-0.1053917,SE11 4RS,Kennington Park Road,italian;pasta,https://www.maximoitalianbistrot.co.uk/
3796265628,node,D'Connect,Bar,bar,51.4836075,-0.0949703,,,,
3796265629,node,Ivory Arch,Restaurant,restaurant,51.4928134,-0.0988917,SE1 6SW,Walworth Road,indian,
3796265635,node,The Tennis Café,Coffee Shop,cafe,51.481548,-0.0923284,SE5 7LA,Addington Square,,https://ourclubhouse.cafe/
3796265636,node,Chatkhara,Fast Food,fast_food,51.4927082,-0.0988031,SE1 6SW,Walworth Road,,
3796265637,node,Dallas Chicken,Restaurant,restaurant,51.4835207,-0.0944553,SE5 0EN,Camberwell Road,chicken,
3796265638,node,The Tankard,Pub,pub,51.4901547,-0.097159,SE17 1JL,Walworth Road,,
3796992525,node,Nell's Jazz & Blues,Bar,bar,51.4923186,-0.2073341,,North End Crescent,,https://nells.co.uk/
3799295190,node,Tatar Bunar,Restaurant,restaurant,51.526832,-0.080221,EC2A 3AT,Curtain Road,ukrainian;european,
3799624401,node,Bounce Farringdon,Bar,bar,51.5179943,-0.10831,EC1N 2TD,Holborn,,https://www.bouncepingpong.com/farringdon
3800709051,node,Costa,Coffee Shop,cafe,51.4487425,0.32115,DA11 9BJ,Eagle Way,coffee_shop,
3800998362,node,Costa,Coffee Shop,cafe,51.5827693,-0.0193616,E17 9QF,Station Approach,,
3801496832,node,Nine Lives,Bar,bar,51.5033757,-0.0820609,SE1 2EL,Holyrood Street,,https://www.ninelivesbar.com/
3804083559,node,Lahore Take Away,Restaurant,restaurant,51.5885149,-0.0314505,,Forest Road,,
3804311307,node,Wuxian Tea,Coffee Shop,cafe,51.5167153,-0.125929,,,bubble_tea,
3805607038,node,Caffe Kix,Coffee Shop,cafe,51.4950773,-0.2258279,,,,
3810334335,node,Twig and Spoon,Coffee Shop,cafe,51.3311042,0.2848562,TN15 7EG,Ash Lane,,https://www.twigandspoon.co.uk/
3811089558,node,Bar + Block,Restaurant,restaurant,51.5140009,-0.0700762,E1 8PX,Alie Street,steak_house;breakfast,https://www.barandblock.co.uk/
3811092605,node,Trade,Coffee Shop,cafe,51.5175015,-0.0738484,E1 6BD,Commercial Street,,https://www.trade-made.co.uk/
3811095183,node,Greggs,Fast Food,fast_food,51.5073592,-0.1222692,WC2N 6PA,,sandwich;bakery,
3811097648,node,Harry's,Restaurant,restaurant,51.5327881,-0.1250309,N1C 4BU,King's Boulevard,italian,https://harrysdolcevita.com/restaurants/harrys-kings-cross/
3811097649,node,Notes,Coffee Shop,cafe,51.5331102,-0.1251194,N1C 4AG,Pancras Square,coffee_shop,http://notes-uk.co.uk/
3811606800,node,Park View Cafe,Coffee Shop,cafe,51.5709057,-0.0964555,,,,
