variant,NDCG@5,NDCG@10,NDCG@20,Hit@10,Spearman_rho,Social_subgroup_NDCG@10,delta_NDCG@10,delta_rho
v3_baseline,0.08225302565916069,0.08598466395726466,0.08750088874904043,0.12055516158443927,0.0682,0.16779706259213897,0.0,0.0
v4_fsq_volume,0.07749003543363181,0.08176995284185033,0.08360383606886722,0.1191368655657988,-0.0002,0.1567584231707424,-0.004214711115414327,-0.0684
v4_social_direct,0.08079864767268531,0.08486915227426245,0.08631790354432285,0.12035254786749063,0.06,0.16519737406201576,-0.00111551168300221,-0.008199999999999999
v4_social_fof,0.08058745742093998,0.0847285773576715,0.0861766380815127,0.12035254786749063,0.0601,0.16613172911626525,-0.0012560865995931564,-0.008099999999999996
v4_full,0.07872770808222951,0.08306764712704405,0.084645129269923,0.11984601357511904,0.0202,0.16242904769428268,-0.002917016830220609,-0.048
