business_id,birank_score,rank,friend_checkin_count,fof_checkin_count,social_unique_visitors,social_diversity_index,mean_bridge_confidence,social_boost,social_linked,best_gamma
6EHVbuZiER0I0_WPWePBxg,0.00038480660249506313,67,,,,,,,False,0.0
3YeGKN_HFj--UmzZrYviPA,0.0003844755292799985,68,,,,,,,False,0.0
tvKZ9NxjgR5VwIZMKb32aA,0.0003841575553410281,69,,,,,,,False,0.0
yIAhT0JRN05LRIJA16Lx5w,0.00038369701418143647,70,,,,,,,False,0.0
y1YYRnAHxWz88FZGSN5mYA,0.00038334982743048877,71,,,,,,,False,0.0
8PjqEoQoQKhmsvSDF9dHQA,0.00038191263835772506,72,,,,,,,False,0.0
vJLbVnnZFb_kiUMjGIWsSg,0.0003813978745431827,73,,,,,,,False,0.0
nRv9MgxFMhONywEpxyI6uw,0.00037883123769870316,74,,,,,,,False,0.0
27x17_lW-rawrzv367mpNA,0.0003783229326351268,75,,,,,,,False,0.0
rUlrzgX_hVZo7xtzbdKwRw,0.0003772196089271192,76,,,,,,,False,0.0
3vTG6LQyr3obzfvrK1l1hA,0.0003771487418156699,77,,,,,,,False,0.0
iLLCTZJgTucIFTMm0-IfTQ,0.00037649091435640943,78,,,,,,,False,0.0
vJlbggc3FsyeOqUOPhVfiA,0.0003756878037799045,79,,,,,,,False,0.0
rEYWXkpgUbLeWaCylWuJNw,0.00037485359479996674,80,,,,,,,False,0.0
N_lp4iuSfrJchn8wL51BKA,0.00037317760469176864,81,,,,,,,False,0.0
zKbpzL0w2vAE68MuyekDAw,0.0003726795703834313,82,,,,,,,False,0.0
dBS571rwNf8V0tnz-ZKnqA,0.0003720830218442345,83,,,,,,,False,0.0
xf4hdY-izcbyzcYTOUy2Rg,0.0003706336323509018,84,,,,,,,False,0.0
iaraHjNVUQEqTp5jla1yZA,0.00036934210602319016,85,,,,,,,False,0.0
g58J50yqKPpn0B1wn5o22A,0.000369100291352565,86,,,,,,,False,0.0
F-L_qhgCWukNYwjck9vwzw,0.00036865358184527566,87,,,,,,,False,0.0
yZUdzAVPpc57Q--rYeHOUg,0.00036600043967686887,88,,,,,,,False,0.0
kQhmw4RexXf6rfjpiysjkA,0.00036468354179601715,89,,,,,,,False,0.0
4rgm4Uaor21vaN14KdocHg,0.00036407076761926343,90,,,,,,,False,0.0
zG3ijcNz5_KyxQb3w29OZg,0.0003628828274337893,91,,,,,,,False,0.0
48zRWlrJVh1rcpTQCIRvJA,0.00036251223124220025,92,,,,,,,False,0.0
UWg158bSV1C68C86u42EFw,0.0003624341828535688,93,,,,,,,False,0.0
10kx3j_jGJutjQDJSw_cBA,0.00036141044354448055,94,,,,,,,False,0.0
XPrSgW88T2EaNvl5v2jukA,0.00036098085678172673,95,,,,,,,False,0.0
mlwJfMFNERB9cGgrB4Uppg,0.00036056493856489747,96,,,,,,,False,0.0
NX6kQVDE1jeSLAOLyNC4ZA,0.0003601812438422488,97,,,,,,,False,0.0
vDC3NC8T9QpPMZlrCAnnIA,0.0003593498611875709,98,,,,,,,False,0.0
BYOcAamry9OCJ4vjbdmBYg,0.0003589991573545163,99,,,,,,,False,0.0
acqDz7WDsCS3WiLxHVceOg,0.0003577622952147373,100,,,,,,,False,0.0
mhkPodUyu4xQe5QBXXlYdA,0.0003556377517261967,101,,,,,,,False,0.0
Q0R2NBaN9JmHW1w4sdFtww,0.0003545669924507302,102,,,,,,,False,0.0
OCuodVY_jdUINB8KADuJqg,0.0003545047131737915,103,,,,,,,False,0.0
mZhgrM010o3JkaCZO3dXRw,0.0003533648640556544,104,,,,,,,False,0.0
Dokh4OOjKPmtywRcYguH4A,0.00035302324033680867,105,,,,,,,False,0.0
9yhny3ODCDOAmMrNIOGJtg,0.0003516727923544482,106,,,,,,,False,0.0
XN6IctwNyZOvmlXCkmettw,0.000351344566756806,107,1.0143,1.2224,1.0,0.6931,0.2536,0.14914020860973723,True,0.0
vIozkqGCcKZteMYouua5Cw,0.00035118267328011754,108,,,,,,,False,0.0
U3ymuxVlD8yPVbJZbYqzhQ,0.00035004508808596826,109,,,,,,,False,0.0
3WhSMPpreTgGt53lk7NY3g,0.0003491601810776871,110,,,,,,,False,0.0
O2apTti9QMFHWkRPeo_JNg,0.00034847750804024375,111,,,,,,,False,0.0
TKTJZCIeYx2wGaxjLYnC6A,0.0003480357653317937,112,,,,,,,False,0.0
jHJCsoQ53CixPE0q-3ATFg,0.00034681183425562225,113,,,,,,,False,0.0
bLpmJpVfP9sRwzhlnJ2F8g,0.00034659850003835127,114,,,,,,,False,0.0
